,BR_665_620,BR_708_620,BR_708_660,BR_708_681,BR_708_673,LH_553,LH_620,LH_665,SS_665_CI,LH_673,SS_681_CI,LH_708,LH_708_,mm12,mi14,Chla
100,0.706833298,0.393955243,0.557352411,0.625117711,0.57470909,0.026493992,-0.004577961,-0.000656406,-0.000511787,0.000426223,0.000999832,-0.000928438,-0.000395526,-0.284230844,-0.163397168,2.19
101,0.822068899,0.567720035,0.690599091,0.759492835,0.711040497,0.032875332,-0.000234268,-0.000421783,0.000517966,0.000847833,0.001246526,0.002717108,0.004555638,-0.183012584,-0.122879056,7.55
102,0.770583195,0.475643305,0.617251075,0.691227807,0.636058819,0.035408244,-0.003066092,-0.000854866,3.71E-05,0.001031989,0.001525703,-3.99E-05,0.001190468,-0.23666636,-0.14160777,5.26
103,0.759837385,0.460878632,0.606549033,0.673883817,0.622234274,0.037104674,-0.00356668,-0.001043153,-0.000364509,0.000981546,0.001843149,-0.000608093,0.000708686,-0.244904425,-0.145670402,4.28
104,0.690613508,0.366247355,0.530321736,0.600788856,0.546205296,0.033153699,-0.007770382,-0.000911823,-0.000657978,0.000627962,0.001220702,-0.001693986,-0.001213182,-0.306914718,-0.164074381,1.56
105,0.964218373,0.727785893,0.754793637,0.80389137,0.753175163,0.024932752,0.002346375,-0.000556638,0.002647669,0.002450127,0.002261088,0.006961395,0.010912324,-0.139735156,-0.027007744,4.1
106,0.758113187,0.44633561,0.588745344,0.663503659,0.606169648,0.03679817,-0.002760221,-0.000984767,-2.36E-05,0.001143814,0.001672868,-0.00119302,-0.000192168,-0.258854987,-0.142409735,2.89
107,1.036034737,0.911573057,0.879867271,0.902822374,0.860082393,0.021178981,0.003763752,-0.001388756,0.002711131,0.003473191,0.001874331,0.013743809,0.019435043,-0.063904899,0.031705786,4.4
108,0.876865325,0.64013042,0.730021364,0.791362683,0.74087599,0.024331001,0.002035327,-0.000453018,0.001052726,0.001247069,0.001186952,0.004228231,0.006476159,-0.156055088,-0.089890944,6.2
109,0.953885869,0.858590526,0.900097752,0.964742429,0.910580567,0.02451007,0.004835334,0.00017072,0.00253255,0.001515436,-0.002055894,0.015478963,0.01849525,-0.052577426,-0.041507225,18.65
110,0.991498372,0.778935638,0.785614642,0.828871049,0.779853507,0.022394352,0.002624921,-0.000572979,0.002744983,0.002535331,0.002088794,0.00881454,0.013186714,-0.1200625,-0.006679004,2.82
112,0.726690365,0.704948312,0.97008072,0.985848616,1.015062724,0.016967795,-0.001053912,-0.000254746,-0.001155674,-0.000483256,-6.47E-05,0.003234897,0.004162487,-0.01518683,-0.265132408,37.57
113,0.767393418,0.576178157,0.750824992,0.814046495,0.792580943,0.014919354,-0.003966442,-6.58E-06,-0.000143079,-8.92E-05,9.70E-05,0.000696466,0.000986482,-0.142318626,-0.174646835,16.71
114,0.872558878,0.564547993,0.647002749,0.704033265,0.659232156,0.013919612,0.000975278,-0.000181986,0.000620062,0.000634603,0.001455349,0.000158155,0.001391308,-0.214327056,-0.082454757,6.27
115,0.727418751,0.648350252,0.891302638,0.905397209,0.912841325,0.015986064,-0.000272129,-0.000502348,-0.001193752,-0.000217445,0.000342132,0.002680656,0.003771606,-0.057472221,-0.242952386,35.41
116,1.007535114,0.896914271,0.890206464,0.921706182,0.883052738,0.018251725,0.003000455,-0.000373793,0.001766622,0.001637623,0.00043416,0.011768526,0.015688323,-0.058085473,0.006707807,15.31
117,0.744970144,0.583128273,0.782753883,0.916437202,0.852723857,0.045284199,-0.004357644,0.000672489,0.000665853,-0.000340743,-0.002430394,0.006269024,0.00618943,-0.121859848,-0.19962561,20.09
118,0.703476036,0.541566986,0.769844257,0.861445359,0.818566084,0.016514112,-0.003338896,-0.000130072,-0.000319194,-6.31E-05,-0.000205673,0.001335,0.001572047,-0.130042936,-0.22827727,15.58
119,0.929610683,0.791677249,0.851622365,0.909023368,0.867606443,0.034794918,0.005610212,0.000386671,0.002452561,0.001206879,-0.00072832,0.01656676,0.02099385,-0.080133853,-0.059945116,22.27
120,0.805219241,0.867400087,1.077222256,1.25040892,1.202138292,0.022989847,-0.002315791,0.00117836,0.000882427,-0.000789757,-0.003810705,0.009768151,0.009624783,0.037175731,-0.209822168,51.92
121,0.873163789,0.772619691,0.884850816,0.965668206,0.922305756,0.033194096,0.00572352,0.000869091,0.001636386,8.55E-05,-0.002827549,0.015358595,0.017709976,-0.061091936,-0.112231125,31.35
